Year,First 90°F,First 95°F,First 100°F,Summer High [°F],Last 100°F,Last 95°F,Last 90°F,Number of >100°F Days
2022,27-Mar,5-Apr,11-Jun,109 / Jul 2040 ,17-Aug,12-Oct,21-Oct,47
2021,3-May,13-Jun,25-Jul,102 / Jul 27 ,20-Sep,20-Sep,10-Oct,8
2020,8-Apr,8-Apr,12-Jul,106 / Aug 29 ,29-Aug,11-Oct,14-Oct,9
2019,10-Apr,19-Jun,30-Jul,102 / Aug 2639 ,7-Sep,6-Oct,10-Oct,14
2018,7-May,18-May,22-Jun,109 / Jul 2238 ,18-Aug,1-Sep,5-Oct,23
2017,20-Mar,26-May,23-Jun,102 / Jul 28 ,19-Aug,9-Oct,5-Nov,10
2016,9-May,15-Jun,22-Jul,107 / Aug 12 ,20-Sep,21-Sep,19-Oct,18
2015,3-Jun,8-Jun,26-Jul,106 / Aug 1037 ,7-Sep,15-Oct,15-Oct,15
2014,27-Apr,4-May,13-Jul,104 / Aug 8 ,10-Sep,7-Oct,10-Oct,15
2013,17-May,10-Jun,27-Jun,105 / Aug 3136 ,6-Sep,26-Sep,12-Oct,28
2012,3-May,24-May,24-Jun,108 / Aug 9 ,7-Sep,25-Sep,27-Sep,34
2011,18-Apr,27-May,13-Jun,110 / Aug 2 ,29-Sep,29-Sep,7-Oct,71
2010,11-May,28-May,5-Jun,107 / Aug 23 ,23-Aug,17-Sep,23-Sep,29
2009,22-Apr,26-May,23-Jun,104 / Jul 13 ,25-Aug,27-Sep,27-Sep,21
2008,10-May,19-May,15-Jun,107 / Aug 3 ,14-Aug,7-Sep,4-Oct,30
2007,15-May,7-Jun,11-Aug,104 / Aug 1435 ,15-Aug,27-Sep,21-Oct,5
2006,1-Mar,16-Apr,17-Apr,107 / Jul 18 ,1-Sep,30-Sep,5-Oct,43
2005,28-Apr,20-May,30-Jun,104 / Sep 28 ,28-Sep,28-Sep,19-Oct,18
2004,20-May,30-May,16-Jul,100 / Jun 16 ,16-Jul,18-Sep,20-Oct,1
2003,1-May,30-May,30-May,109 / Aug 6 ,25-Aug,29-Aug,24-Oct,19
2002,29-Apr,8-Jul,25-Jul,100 / Jul 25 ,25-Jul,18-Sep,6-Oct,1
2001,20-May,13-Jun,13-Jul,102 / Aug 5 ,12-Aug,25-Aug,23-Oct,8
2000,7-Apr,12-May,12-Jul,111 / Sep 4 ,11-Sep,23-Sep,5-Oct,46
1999,15-May,1-Jun,23-Jul,107 / Aug 10 ,29-Aug,19-Sep,15-Oct,33
1998,6-May,6-May,6-May,110 / Jul 12 ,8-Sep,30-Sep,5-Oct,56
1997,26-May,1-Jul,29-Jul,101 / Jul 29 ,5-Aug,30-Sep,3-Oct,2
1996,21-Feb,21-Feb,18-Jun,106 / Jul 7 ,5-Aug,21-Aug,23-Sep,13
1995,22-Mar,8-Jun,10-Jul,105 / Jul 28 ,4-Sep,16-Sep,11-Oct,11
1994,31-May,6-Jun,25-Jun,103 / Aug 1934 ,19-Aug,29-Sep,5-Oct,8
1993,15-May,2-Jun,24-Jul,104 / Aug 1 ,22-Aug,24-Sep,1-Oct,24
1992,11-May,15-Jun,10-Aug,100 / Aug 10 ,10-Aug,21-Sep,26-Oct,1
1991,5-Mar,5-Mar,15-Jul,101 / Jul 18 ,19-Aug,11-Oct,13-Oct,4
1990,29-Apr,29-Apr,20-Jun,106 / Aug 31 ,7-Sep,6-Oct,14-Oct,18
1989,14-Mar,3-Apr,23-Aug,101 / Sep 333 ,4-Sep,11-Oct,16-Oct,6
1988,8-May,8-Jun,1-Jul,107 / Aug 8 ,27-Aug,23-Sep,28-Sep,25
1987,17-Apr,18-Apr,31-Jul,103 / Aug 4 ,23-Aug,17-Sep,5-Oct,19
1986,29-May,23-Jun,19-Jul,106 / Jul 3132 ,18-Aug,25-Aug,3-Oct,13
1985,25-May,30-May,30-May,106 / Sep 1 ,8-Sep,9-Sep,22-Sep,29
1984,20-Apr,5-May,21-Jun,106 / Aug 19 ,29-Aug,24-Sep,6-Oct,19
1983,3-Jun,28-Jun,26-Jul,101 / Aug 15 ,31-Aug,4-Oct,4-Oct,5
1982,16-Apr,2-Jul,21-Jul,103 / Aug 7 ,27-Aug,17-Sep,6-Oct,10
1981,30-Apr,8-Jun,20-Jul,104 / Aug 15 ,15-Aug,27-Sep,5-Oct,12
1980,7-Apr,25-May,7-Jun,113 / Jun 2731 ,16-Sep,22-Sep,22-Sep,69
1979,15-Apr,7-Jun,29-Jun,103 / Jun 3030 ,1-Oct,12-Oct,21-Oct,7
